source_file,source_status,metric_mapping
artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,present,num_cases->n_cases; reliability_rewrite_success->reliability; generalization_rephrase_success->generalization; locality_retain_success->locality; elapsed_sec->runtime_sec; failure_error->failure_reason
current_task_spec:2026-06-23 GPT review,provided,synthetic canonical rows and public_refusal conflict guidance
artifacts/final_comparison_20260623_urgent/method_claim_metrics.csv,present,"used for metric audit conflicts, not canonical public_refusal"
artifacts/paper_assets_20260623/tables_tex/table_public_qwen_topconf.tex,present,publication-ready successful Qwen public rows only
artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,present,GPT-J stop reason; no metrics
artifacts/gptj_fast_patch_20260623/table_gptj_public_fast_patch.csv,optional,GPT-J fast patch ROME/FT metrics when summary.json exists
artifacts/analysis_v2_audit_20260622/ATTACK_TYPE_ANALYSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/CAPE_V0_FAILURE_DIAGNOSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/CAPE_V0_PLAN_20260622.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METHOD_COMPARISON_REPORT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METHOD_PROVENANCE_AUDIT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METRIC_COUNT_AUDIT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METRIC_DEFINITION_AUDIT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/OVER_REFUSAL_ANALYSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/QUALITATIVE_CASES.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/TODAY_GROUP_MEETING_REPORT_20260622.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/TRADEOFF_ANALYSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/attack_type_breakdown.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/cape_public_failure_cases.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/cape_selected_request_breakdown.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/cape_vs_pace_request_distribution.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/method_comparison.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/metric_counts.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/over_refusal_stats.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/tradeoff_points.csv,present,scanned_candidate
artifacts/data_v2_lora_sanitization/LORA_SANITIZATION_DATA_REPORT.md,present,scanned_candidate
artifacts/final_comparison_20260622/PAPER_READY_RESULT_SUMMARY.md,present,scanned_candidate
artifacts/final_comparison_20260622/public_benchmark_method_matrix.md,present,scanned_candidate
artifacts/final_comparison_20260622/public_editing_baseline_comparison.csv,present,scanned_candidate
artifacts/final_comparison_20260622/synthetic_privacy_comparison_with_new_baselines.csv,present,scanned_candidate
artifacts/final_comparison_20260622/PAPER_READY_FIGURES_AND_TABLES_REPORT.md,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/attack_type_breakdown.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/over_refusal_stats.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/table_metric_definitions.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/table_pace_cape_selection_stats.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/table_public_baseline_counterfact_zsre.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/table_public_wrapper_pace_cape.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/table_synthetic_extra_editors.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/table_synthetic_main_results.csv,present,scanned_candidate
artifacts/final_comparison_20260622/paper_tables/tradeoff_points.csv,present,scanned_candidate
artifacts/public_benchmarks_20260622/PUBLIC_BASELINE_SERVER_COMMANDS.md,present,scanned_candidate
artifacts/public_benchmarks_20260622/PUBLIC_EDITING_BASELINE_REPORT.md,present,scanned_candidate
artifacts/public_benchmarks_20260622/PUBLIC_SUBSET_PREP_REPORT.md,present,scanned_candidate
artifacts/public_benchmarks_20260622/public_editing_comparison.csv,present,scanned_candidate
artifacts/public_benchmarks_20260622/MODEL_AVAILABILITY_REPORT.md,present,scanned_candidate
artifacts/public_benchmarks_20260622/tofu_small/TOFU_SMALL_SUBSET_REPORT.md,present,scanned_candidate
artifacts/public_benchmarks_20260622/gptj_counterfact/ROME/summary.json,present,scanned_candidate
artifacts/run_20260614_lora_mlp_only/privacy_baseline_summary.json,present,scanned_candidate
artifacts/run_20260614_lora_mlp_only/privacy_lora_summary.json,present,scanned_candidate
artifacts/run_20260614_privacy_baseline/privacy_baseline_summary.json,present,scanned_candidate
artifacts/run_20260614_rome_privacy_direct/rome_direct_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_pace_max1_per_case/pace_max1_per_case_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_pace_max2_per_person/pace_max2_per_person_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_pace_round2_merged/pace_round2_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_pace_target_only/pace_target_only_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_v2_lora_mlp_only/audit_summary.json,present,scanned_candidate
artifacts/run_20260615_v2_pace_max1_per_case/v2_pace_max1_per_case_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_v2_pace_max1_per_case/v2_pace_max1_per_case_summary.json,present,scanned_candidate
artifacts/run_20260615_v2_pace_max2_per_person/v2_pace_max2_per_person_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_v2_pace_max2_per_person/v2_pace_max2_per_person_summary.json,present,scanned_candidate
artifacts/run_20260615_v2_pace_target_only/v2_pace_target_only_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_v2_pace_target_only/v2_pace_target_only_summary.json,present,scanned_candidate
artifacts/run_20260615_v2_rome_direct/v2_rome_direct_edit_metrics.json,present,scanned_candidate
artifacts/run_20260615_v2_rome_direct/v2_rome_direct_summary.json,present,scanned_candidate
artifacts/run_20260617_v2_audit/locality_tradeoff_summary.json,present,scanned_candidate
artifacts/run_20260617_v2_audit/locality_tradeoff_summary.md,present,scanned_candidate
artifacts/run_20260617_v2_audit/pipeline_consistency.md,present,scanned_candidate
artifacts/run_20260617_v2_method_comparison/v2_method_comparison.md,present,scanned_candidate
artifacts/run_20260622_v2_cape_anchor/CAPE_ANCHOR_SELECTION_REPORT.md,present,scanned_candidate
artifacts/run_20260622_v2_cape_anchor/cape_anchor_selection_report.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_b1_tau05/CAPE_SELECTION_REPORT.md,present,scanned_candidate
artifacts/run_20260622_v2_cape_b1_tau05/cape_selection_report.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_b1_tau05/v2_cape_b1_tau05_edit_metrics.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_b1_tau05/v2_cape_b1_tau05_selection_report.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_b1_tau05/v2_cape_b1_tau05_selection_report.md,present,scanned_candidate
artifacts/run_20260622_v2_cape_b1_tau05/v2_cape_b1_tau05_summary.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_v1_top20_tau07_direct/v2_cape_v1_top20_tau07_direct_edit_metrics.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_v1_top20_tau07_direct/v2_cape_v1_top20_tau07_direct_selection_report.json,present,scanned_candidate
artifacts/run_20260622_v2_cape_v1_top20_tau07_direct/v2_cape_v1_top20_tau07_direct_selection_report.md,present,scanned_candidate
artifacts/run_20260622_v2_cape_v1_top20_tau07_direct/v2_cape_v1_top20_tau07_direct_summary.json,present,scanned_candidate
artifacts/run_20260622_v2_memit_direct/v2_memit_direct_edit_metrics.json,present,scanned_candidate
artifacts/run_20260622_v2_memit_direct/v2_memit_direct_summary.json,present,scanned_candidate
artifacts/run_20260622_v2_prompt_refusal/PROMPT_REFUSAL_BASELINE_REPORT.md,present,scanned_candidate
artifacts/synthetic_privacy_data_v2/README.md,present,scanned_candidate
artifacts/synthetic_privacy_data_v2/audit_summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/PUBLIC_EDITING_BASELINE_REPORT.md,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/QWEN_PUBLIC_RUNTIME_LIMITS.md,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/public_benchmark_method_matrix.md,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/public_editing_comparison.csv,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/gptj_counterfact/FT/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/gptj_counterfact/ROME/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/FT/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/IKE/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/KN/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/ROME/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/ROME_PACE_CAPE_SELECTION/PACE_CAPE_PUBLIC_SELECTION_REPORT.md,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/ROME_PACE_CAPE_SELECTION/selection_report.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_counterfact/ROME_PACE_EDIT/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_zsre/FT/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_zsre/KN/summary.json,present,scanned_candidate
artifacts/public_benchmarks_20260623_200/qwen_zsre/ROME/summary.json,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/GPTJ_EXISTING_RESULT_AUDIT.md,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/GPTJ_FAST_PATCH_RUN_PLAN.md,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/gptj_existing_metrics.csv,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/gptj_existing_metrics.md,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/gptj_missing_matrix.csv,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/table_gptj_public_fast_patch.csv,present,scanned_candidate
artifacts/gptj_fast_patch_20260623/table_gptj_public_fast_patch.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig1_pipeline_overview.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig2_request_construction.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig3_privacy_utility_tradeoff.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig4_public_refusal_comparison.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig5_attack_type_breakdown.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig6_public_benchmark_migration_placeholder.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig_ablation_privacy_utility.md,present,scanned_candidate
artifacts/paper_assets_20260623/figure_notes/fig_ablation_public_refusal.md,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_ablation_cape_anchor.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_ablation_cape_selection.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_ablation_pace_budget.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_all_available_metrics_now.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_all_available_metrics_now.md,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_cape_anchor_placeholder.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_failure_matrix_placeholder.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_gptj_public_fast_patch.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_gptj_public_fast_patch.md,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_public_qwen_metrics_now.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_public_qwen_metrics_now.md,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_public_qwen_placeholder.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables/table_synthetic_main_results_placeholder.csv,present,scanned_candidate
artifacts/paper_assets_20260623/tables_tex/table_public_qwen_topconf.tex,present,scanned_candidate
artifacts/paper_assets_20260623/tables_tex/table_runtime_limits_topconf.tex,present,scanned_candidate
artifacts/paper_assets_20260623/tables_tex/table_synthetic_main_topconf.tex,present,scanned_candidate
artifacts/paper_assets_20260623/tables_tex/table_tradeoff_summary_topconf.tex,present,scanned_candidate
artifacts/result_ledger_20260623/RESULT_LEDGER_SUMMARY.md,present,scanned_candidate
artifacts/result_ledger_20260623/all_available_metrics.csv,present,scanned_candidate
artifacts/result_ledger_20260623/all_available_metrics.md,present,scanned_candidate
artifacts/result_ledger_20260623/metric_audit_report.md,present,scanned_candidate
artifacts/result_ledger_20260623/missing_or_failed_runs.csv,present,scanned_candidate
artifacts/result_ledger_20260623/public_gptj_partial_metrics.csv,present,scanned_candidate
artifacts/result_ledger_20260623/public_qwen_metrics.csv,present,scanned_candidate
artifacts/result_ledger_20260623/public_qwen_metrics.md,present,scanned_candidate
artifacts/result_ledger_20260623/result_source_map.csv,present,scanned_candidate
artifacts/result_ledger_20260623/synthetic_privacy_metrics.csv,present,scanned_candidate
artifacts/result_ledger_20260623/synthetic_privacy_metrics.md,present,scanned_candidate
artifacts/final_comparison_20260623_urgent,missing_path,missing
artifacts/run_20260622_v2_ft_baseline,missing_path,missing
artifacts/run_20260622_v2_kn_baseline,missing_path,missing
artifacts/run_20260622_v2_ike_baseline,missing_path,missing
artifacts/run_20260623_v2_ft_baseline,missing_path,missing
artifacts/run_20260623_v2_kn_baseline,missing_path,missing
artifacts/run_20260623_v2_ike_baseline,missing_path,missing
artifacts/run_20260623_cape_anchor_rescue,missing_path,missing
